Computers dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,94.66,0.0,0.0,0.0,0.0
Task 2,98.51,83.31,0.0,0.0,0.0
Task 3,17.37,79.95,93.96,0.0,0.0
Task 4,66.46,79.95,81.45,70.56,0.0
Task 5,19.63,79.95,98.69,70.56,96.56

	Average accuracy = 73.08
	Average forgetting = -18.42
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,83.83,0.0,0.0,0.0,0.0
Task 2,91.77,98.83,0.0,0.0,0.0
Task 3,34.6,82.42,95.69,0.0,0.0
Task 4,68.09,89.22,85.38,99.25,0.0
Task 5,18.14,80.84,97.58,70.81,96.87

	Average accuracy = 72.85
	Average forgetting = -27.56
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,83.97,0.0,0.0,0.0,0.0
Task 2,98.32,98.63,0.0,0.0,0.0
Task 3,30.56,83.31,43.07,0.0,0.0
Task 4,77.86,97.66,9.46,99.25,0.0
Task 5,23.44,86.33,87.72,70.81,2.11

	Average accuracy = 54.08
	Average forgetting = -14.16
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,85.27,0.0,0.0,0.0,0.0
Task 2,84.46,20.05,0.0,0.0,0.0
Task 3,24.21,20.05,96.09,0.0,0.0
Task 4,65.21,20.05,79.02,99.01,0.0
Task 5,18.96,20.05,96.82,70.93,2.11

	Average accuracy = 41.77
	Average forgetting = -23.42
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,89.17,0.0,0.0,0.0,0.0
Task 2,97.88,97.46,0.0,0.0,0.0
Task 3,35.23,86.13,95.53,0.0,0.0
Task 4,76.56,87.84,72.65,99.25,0.0
Task 5,66.75,93.41,84.15,99.38,2.11

	Average accuracy = 69.16
	Average forgetting = -9.43
