Computers dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,87.2,0.0,0.0,0.0,0.0
Task 2,91.48,98.7,0.0,0.0,0.0
Task 3,72.43,99.52,97.99,0.0,0.0
Task 4,80.37,99.38,97.72,99.5,0.0
Task 5,93.17,99.45,97.97,99.63,98.15

	Average accuracy = 97.67
	Average forgetting = 1.71
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,81.28,0.0,0.0,0.0,0.0
Task 2,80.13,98.97,0.0,0.0,0.0
Task 3,68.53,99.18,98.39,0.0,0.0
Task 4,71.75,99.38,97.4,99.5,0.0
Task 5,78.3,99.38,97.6,99.25,97.02

	Average accuracy = 94.31
	Average forgetting = -0.9
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,75.41,0.0,0.0,0.0,0.0
Task 2,87.97,99.04,0.0,0.0,0.0
Task 3,81.86,99.52,96.5,0.0,0.0
Task 4,87.1,99.24,89.77,99.25,0.0
Task 5,88.35,99.38,96.8,99.13,98.05

	Average accuracy = 96.34
	Average forgetting = 3.36
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,82.29,0.0,0.0,0.0,0.0
Task 2,82.34,99.18,0.0,0.0,0.0
Task 3,69.1,98.97,98.29,0.0,0.0
Task 4,84.22,99.11,96.38,99.38,0.0
Task 5,88.4,99.52,97.26,99.25,98.0

	Average accuracy = 96.49
	Average forgetting = 1.32
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5
Task 1,82.44,0.0,0.0,0.0,0.0
Task 2,77.62,99.38,0.0,0.0,0.0
Task 3,78.78,99.52,98.45,0.0,0.0
Task 4,74.83,99.52,97.7,99.5,0.0
Task 5,70.26,99.52,97.22,99.25,97.33

	Average accuracy = 92.72
	Average forgetting = -3.38
