CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,91.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,64.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,0.0,0.0,12.48,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,0.22,13.4,36.39,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,0.0,0.0,0.0,0.0,38.34,0.0,0.0,0.0,0.0
Task 6,0.0,9.09,56.84,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,0.0,27.51,18.65,0.0,18.95,0.0,0.0,0.0,0.0
Task 8,49.56,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 9,17.9,3.67,0.0,0.0,15.14,0.0,0.0,0.0,0.0

	Average accuracy = 4.08
	Average forgetting = -21.32
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,79.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,10.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,0.0,0.0,30.23,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,0.0,0.0,73.08,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,0.0,0.0,0.0,0.0,30.07,0.0,0.0,0.0,0.0
Task 6,0.0,22.57,55.94,0.0,11.76,0.0,0.0,0.0,0.0
Task 7,22.05,32.06,47.82,0.0,29.74,0.0,0.0,0.0,0.0
Task 8,12.23,1.91,19.55,0.0,12.42,0.0,0.0,0.0,0.0
Task 9,22.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

	Average accuracy = 2.5
	Average forgetting = -16.07
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,21.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,22.71,16.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,61.79,26.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,0.0,0.08,0.0,0.0,18.08,0.0,0.0,0.0,0.0
Task 6,49.34,39.39,0.0,0.0,8.06,0.0,0.0,0.0,0.0
Task 7,49.34,19.94,0.0,0.0,20.04,0.0,0.0,0.0,0.0
Task 8,6.11,41.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 9,0.0,41.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0

	Average accuracy = 4.63
	Average forgetting = -11.58
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,65.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,58.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,0.0,0.0,30.23,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,0.0,0.0,30.38,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,0.0,0.08,0.0,0.0,17.65,0.0,0.0,0.0,0.0
Task 6,0.0,11.4,54.74,0.0,28.87,0.0,0.0,0.0,0.0
Task 7,0.0,0.0,24.81,0.0,0.0,0.0,15.92,0.0,0.0
Task 8,0.0,22.89,6.47,0.0,12.42,0.0,0.0,0.0,0.0
Task 9,0.0,1.36,16.39,0.0,6.32,0.0,11.88,0.0,0.0

	Average accuracy = 3.99
	Average forgetting = -19.06
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,60.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,0.0,0.0,30.23,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,0.0,0.16,30.23,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,0.0,0.48,0.0,0.0,43.57,0.0,0.0,0.0,0.0
Task 6,21.62,30.22,0.0,0.0,27.56,0.0,0.0,0.0,0.0
Task 7,13.97,17.07,0.0,0.0,20.04,0.0,0.0,0.0,0.0
Task 8,23.36,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 9,22.49,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0

	Average accuracy = 2.95
	Average forgetting = -25.37
