CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,37.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,14.41,93.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,53.49,91.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,53.49,91.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,52.62,82.93,0.0,0.0,11.87,0.0,0.0,0.0,0.0
Task 6,50.22,82.78,0.0,0.0,0.0,25.23,0.0,0.0,0.0
Task 7,36.46,63.4,14.89,0.0,0.0,25.0,12.08,0.0,0.0
Task 8,36.46,63.4,14.89,0.0,0.0,25.0,12.08,0.0,0.0
Task 9,36.46,63.4,14.89,0.0,0.0,25.0,12.08,0.0,0.0

	Average accuracy = 16.87
	Average forgetting = -3.56
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,25.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,30.35,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,59.61,93.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,59.61,93.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,45.2,83.49,0.0,0.0,30.28,0.0,0.0,0.0,0.0
Task 6,48.47,85.49,27.97,0.0,29.08,0.0,0.0,0.0,0.0
Task 7,47.16,80.94,28.42,0.0,29.96,0.0,0.0,0.0,0.0
Task 8,41.05,79.11,28.12,0.0,29.41,0.0,0.0,0.0,0.0
Task 9,44.54,82.46,29.02,0.0,28.43,0.0,0.0,0.0,0.0

	Average accuracy = 20.49
	Average forgetting = 4.26
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,74.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,24.24,94.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,24.24,94.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,24.24,94.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,24.24,94.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,52.62,93.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,60.48,81.18,0.0,0.0,0.0,0.0,15.05,0.0,0.0
Task 8,42.58,82.54,0.0,0.0,0.0,0.0,15.18,0.0,0.0
Task 9,42.58,82.54,0.0,0.0,0.0,0.0,15.18,0.0,0.0

	Average accuracy = 15.59
	Average forgetting = -5.37
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,51.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,20.96,93.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,42.79,90.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,42.79,90.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,43.23,71.05,21.2,0.0,87.04,0.0,0.0,0.0,0.0
Task 6,31.66,60.61,22.26,0.0,71.24,43.56,0.0,0.0,0.0
Task 7,37.12,67.54,39.1,0.0,78.87,37.73,0.0,0.0,0.0
Task 8,35.81,62.28,30.23,0.0,78.87,39.67,0.0,0.0,0.0
Task 9,34.06,65.39,31.58,0.0,75.05,39.05,0.0,0.0,0.0

	Average accuracy = 27.24
	Average forgetting = -3.83
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,37.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,20.31,94.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,20.31,94.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,20.31,94.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,20.31,94.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,20.31,94.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,29.91,80.46,0.0,0.0,0.0,0.0,81.98,0.0,0.0
Task 8,31.22,83.49,0.0,0.0,0.0,0.0,78.21,0.0,0.0
Task 9,30.13,88.76,0.0,0.0,0.0,0.0,75.24,0.0,0.0

	Average accuracy = 21.57
	Average forgetting = -2.4
