CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,92.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,64.19,93.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,81.44,93.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,81.44,93.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,79.91,93.62,26.02,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,72.71,91.95,56.84,0.0,0.0,12.03,0.0,0.0,0.0
Task 7,71.18,93.86,46.02,0.0,0.0,2.87,0.0,0.0,0.0
Task 8,74.67,92.82,56.84,0.0,0.0,2.02,0.0,0.0,0.0
Task 9,73.8,92.34,47.07,0.0,0.0,2.17,0.0,0.0,0.0

	Average accuracy = 23.93
	Average forgetting = 2.17
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,45.2,93.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,69.43,92.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,69.43,92.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,66.16,93.78,5.41,0.0,7.19,0.0,0.0,0.0,0.0
Task 6,68.34,90.11,27.37,0.0,4.9,0.0,0.0,0.0,0.0
Task 7,61.79,91.47,29.02,0.0,13.4,0.0,8.03,0.0,0.0
Task 8,61.14,92.19,34.59,0.0,12.2,0.0,3.58,0.0,0.0
Task 9,60.7,93.46,36.54,0.0,13.62,0.0,2.36,0.0,0.0

	Average accuracy = 22.96
	Average forgetting = 0.29
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,84.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,75.33,83.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,88.86,84.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,89.52,84.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,89.52,85.01,44.36,0.0,13.29,0.0,0.0,0.0,0.0
Task 6,90.61,80.86,69.62,0.0,17.32,0.0,0.0,0.0,0.0
Task 7,87.77,83.01,72.03,0.0,31.81,0.0,0.0,0.0,0.0
Task 8,86.03,81.5,71.43,0.0,35.29,0.0,0.0,0.0,0.0
Task 9,87.12,81.66,70.68,0.0,42.92,0.0,0.0,0.0,0.0

	Average accuracy = 31.38
	Average forgetting = 12.56
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,59.83,93.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,71.62,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,71.62,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,74.02,92.58,10.98,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,64.85,87.64,13.08,0.0,0.0,1.16,0.0,0.0,0.0
Task 7,68.34,93.62,20.15,0.0,0.0,1.94,0.0,0.0,0.0
Task 8,65.28,93.46,17.74,0.0,0.0,1.16,0.0,0.17,0.0
Task 9,64.63,92.66,17.29,0.0,0.0,0.39,0.0,0.0,0.49

	Average accuracy = 19.5
	Average forgetting = -2.1
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,75.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,61.57,88.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,68.56,91.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,68.56,91.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,74.02,94.02,0.0,0.0,61.76,0.0,0.0,0.0,0.0
Task 6,71.62,92.74,41.05,0.0,36.06,0.0,0.0,0.0,0.0
Task 7,72.93,94.42,36.24,0.0,39.32,0.0,0.0,0.0,0.0
Task 8,65.94,94.5,38.35,0.0,41.94,0.0,0.0,0.0,0.0
Task 9,70.09,93.86,40.15,0.0,34.86,0.0,0.0,0.0,0.0

	Average accuracy = 26.55
	Average forgetting = 1.67
