CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,33.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,68.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,0.0,0.0,30.23,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,0.0,0.0,30.38,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,0.0,8.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,0.22,8.77,69.32,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,51.97,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 8,51.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 9,51.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

	Average accuracy = 5.77
	Average forgetting = -10.0
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,63.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,63.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,0.0,0.0,57.29,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,0.0,0.48,65.86,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,0.44,7.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,50.87,0.0,47.67,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,0.0,0.0,57.29,0.0,0.11,0.0,0.0,0.0,0.0
Task 8,0.0,0.0,57.29,0.0,0.0,0.0,0.0,0.0,0.0
Task 9,0.0,0.0,57.29,0.0,0.0,0.0,0.0,0.0,0.0

	Average accuracy = 6.37
	Average forgetting = -15.93
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,86.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,74.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,0.0,0.0,58.65,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,4.15,0.0,46.92,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,0.66,0.0,80.75,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,0.44,38.92,47.37,0.0,0.0,0.0,0.0,0.0,0.0
Task 7,6.77,41.39,18.8,0.0,0.0,0.0,0.0,0.0,0.0
Task 8,1.97,41.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 9,1.09,41.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0

	Average accuracy = 4.76
	Average forgetting = -22.06
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,78.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,34.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,0.0,0.0,30.23,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,0.22,0.0,57.89,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,0.0,8.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 6,24.89,4.63,0.0,0.0,1.85,0.0,0.0,0.0,0.0
Task 7,51.97,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 8,0.44,0.08,0.0,0.0,0.0,0.0,0.0,70.67,0.0
Task 9,62.01,11.48,2.71,0.0,0.0,0.0,0.0,0.0,0.0

	Average accuracy = 8.47
	Average forgetting = -17.15
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,72.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,0.0,68.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,0.0,0.0,12.48,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,0.0,0.0,22.86,0.0,0.0,0.0,0.0,0.0,0.0
Task 5,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0
Task 6,0.0,0.16,0.0,0.0,6.1,0.0,0.0,0.0,0.0
Task 7,0.0,0.0,0.0,0.0,0.0,0.0,48.25,0.0,0.0
Task 8,0.0,0.16,10.98,0.0,0.0,0.0,0.07,0.0,0.0
Task 9,0.0,0.08,12.18,0.0,0.0,0.0,0.0,0.0,0.0

	Average accuracy = 1.36
	Average forgetting = -24.46
