CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,75.98,43.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,52.4,30.38,94.59,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,31.0,7.97,12.48,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,47.16,28.55,95.04,100.0,68.95,0.0,0.0,0.0,0.0
Task 6,40.61,15.63,88.27,100.0,45.53,40.14,0.0,0.0,0.0
Task 7,44.54,26.4,94.29,100.0,60.78,33.15,61.34,0.0,0.0
Task 8,26.2,20.1,92.33,100.0,35.51,69.41,46.9,73.5,0.0
Task 9,29.26,9.81,75.49,100.0,44.77,27.02,51.42,73.83,67.32

	Average accuracy = 53.21
	Average forgetting = -20.51
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,75.76,64.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,64.63,46.57,94.74,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,26.2,22.41,89.02,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,93.01,60.61,86.62,100.0,64.71,0.0,0.0,0.0,0.0
Task 6,70.74,50.0,87.67,100.0,54.68,86.26,0.0,0.0,0.0
Task 7,60.48,39.95,87.07,100.0,56.1,86.34,85.56,0.0,0.0
Task 8,35.81,43.38,81.65,100.0,55.01,80.12,78.21,91.67,0.0
Task 9,42.14,52.63,93.68,100.0,53.27,86.65,81.92,75.0,77.56

	Average accuracy = 73.65
	Average forgetting = -12.28
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,95.2,20.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,86.46,20.89,94.44,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,25.55,13.16,30.23,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,61.79,16.75,83.91,100.0,51.31,0.0,0.0,0.0,0.0
Task 6,80.79,15.39,83.61,100.0,49.67,87.58,0.0,0.0,0.0
Task 7,86.03,17.78,87.07,99.66,51.31,46.04,79.42,0.0,0.0
Task 8,84.06,15.87,83.76,100.0,51.09,46.2,79.35,92.33,0.0
Task 9,76.64,15.63,84.06,100.0,47.82,45.11,78.0,88.5,81.46

	Average accuracy = 68.58
	Average forgetting = -10.58
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,70.31,92.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,40.17,82.78,94.59,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,29.69,24.88,30.38,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,44.32,70.1,94.29,100.0,48.91,0.0,0.0,0.0,0.0
Task 6,36.46,47.77,92.18,100.0,44.12,85.4,0.0,0.0,0.0
Task 7,41.27,78.07,89.47,100.0,44.66,38.28,83.6,0.0,0.0
Task 8,54.37,66.03,66.62,100.0,44.99,35.09,35.63,73.83,0.0
Task 9,31.88,63.08,20.45,100.0,33.77,36.8,55.06,73.83,68.78

	Average accuracy = 53.74
	Average forgetting = -32.34
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,87.99,74.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,69.21,72.09,39.25,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,24.45,48.09,32.48,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,72.27,65.31,36.99,100.0,61.0,0.0,0.0,0.0,0.0
Task 6,82.31,59.49,35.34,100.0,42.81,81.44,0.0,0.0,0.0
Task 7,29.48,23.05,34.29,100.0,53.92,44.1,56.75,0.0,0.0
Task 8,39.52,22.17,40.0,100.0,40.96,34.24,50.81,93.17,0.0
Task 9,35.15,42.66,34.89,100.0,41.83,34.7,59.11,72.0,80.0

	Average accuracy = 55.59
	Average forgetting = -22.58
