CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,92.14,60.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,91.05,93.46,95.49,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,90.39,89.79,96.39,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,91.27,91.23,95.19,100.0,89.22,0.0,0.0,0.0,0.0
Task 6,89.08,84.85,94.29,100.0,83.66,93.01,0.0,0.0,0.0
Task 7,85.81,87.32,95.19,100.0,82.14,92.55,88.46,0.0,0.0
Task 8,91.7,86.12,94.89,100.0,87.36,93.09,86.23,97.0,0.0
Task 9,91.92,83.41,93.98,100.0,81.92,90.84,84.75,94.33,84.39

	Average accuracy = 89.5
	Average forgetting = 0.2
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,92.36,54.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,92.79,53.19,94.59,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,66.16,50.0,94.74,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,91.05,52.79,97.59,100.0,91.94,0.0,0.0,0.0,0.0
Task 6,91.27,52.79,97.14,100.0,89.11,95.34,0.0,0.0,0.0
Task 7,91.48,91.07,96.84,100.0,83.99,94.49,91.23,0.0,0.0
Task 8,91.27,91.15,96.54,100.0,89.0,94.41,90.55,98.0,0.0
Task 9,89.52,89.71,95.19,100.0,87.15,93.09,88.06,96.5,81.46

	Average accuracy = 91.19
	Average forgetting = 2.32
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,93.89,94.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,89.74,91.79,95.19,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,92.14,91.07,95.19,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,84.93,88.12,94.44,100.0,88.67,0.0,0.0,0.0,0.0
Task 6,81.44,87.08,92.03,100.0,87.25,92.24,0.0,0.0,0.0
Task 7,83.84,88.76,93.53,100.0,85.4,92.08,88.46,0.0,0.0
Task 8,85.37,84.21,91.58,100.0,87.36,89.75,82.66,97.33,0.0
Task 9,85.81,85.01,94.29,100.0,87.8,93.79,86.57,93.5,88.29

	Average accuracy = 90.56
	Average forgetting = -3.06
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,87.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,86.9,92.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,88.65,93.06,95.49,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,87.77,90.27,93.98,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,86.46,91.55,93.23,100.0,90.31,0.0,0.0,0.0,0.0
Task 6,91.27,92.82,94.14,100.0,87.58,95.19,0.0,0.0,0.0
Task 7,90.17,90.75,93.23,100.0,84.86,94.1,90.35,0.0,0.0
Task 8,89.08,88.36,90.83,100.0,86.06,92.7,85.43,95.83,0.0
Task 9,90.39,91.71,93.53,100.0,86.06,93.87,86.71,95.5,86.83

	Average accuracy = 91.62
	Average forgetting = -1.19
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,93.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,93.45,95.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,92.79,95.53,96.09,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,93.89,95.45,95.19,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,91.27,93.7,95.19,100.0,91.72,0.0,0.0,0.0,0.0
Task 6,93.23,89.07,94.29,100.0,84.75,93.94,0.0,0.0,0.0
Task 7,84.28,87.72,95.34,100.0,77.56,72.98,88.53,0.0,0.0
Task 8,81.88,83.73,93.83,100.0,77.34,87.19,85.09,96.83,0.0
Task 9,80.13,80.94,92.63,100.0,70.48,91.77,83.74,96.33,79.51

	Average accuracy = 86.17
	Average forgetting = -7.52
