CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,96.94,95.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,95.41,94.98,95.94,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,95.2,93.94,94.89,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,95.63,94.34,95.19,100.0,89.32,0.0,0.0,0.0,0.0
Task 6,95.85,93.78,94.89,100.0,88.67,94.64,0.0,0.0,0.0
Task 7,93.67,94.1,94.44,100.0,88.45,96.12,92.78,0.0,0.0
Task 8,93.89,92.82,95.04,100.0,87.47,95.11,92.65,98.0,0.0
Task 9,92.14,92.26,96.09,100.0,85.95,93.4,91.63,98.0,81.46

	Average accuracy = 92.33
	Average forgetting = -1.58
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,95.63,94.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,94.54,94.5,95.49,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,91.92,93.3,97.74,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,93.67,94.74,96.99,100.0,90.41,0.0,0.0,0.0,0.0
Task 6,94.76,94.26,95.79,100.0,88.34,95.89,0.0,0.0,0.0
Task 7,93.45,94.02,97.14,100.0,87.58,96.04,93.72,0.0,0.0
Task 8,84.5,93.62,96.99,100.0,89.0,95.34,93.66,98.0,0.0
Task 9,91.92,93.78,95.94,100.0,89.11,95.11,93.25,97.5,81.95

	Average accuracy = 93.17
	Average forgetting = -1.06
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,91.27,93.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,91.92,94.42,95.79,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,87.99,93.86,95.79,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,83.19,94.18,96.24,100.0,92.05,0.0,0.0,0.0,0.0
Task 6,93.23,89.39,95.79,100.0,90.52,96.43,0.0,0.0,0.0
Task 7,86.68,93.7,94.74,100.0,90.31,96.04,92.85,0.0,0.0
Task 8,87.55,91.63,95.34,100.0,90.74,95.26,92.24,98.33,0.0
Task 9,87.55,93.7,96.24,100.0,89.65,94.95,91.9,96.67,85.85

	Average accuracy = 92.95
	Average forgetting = -1.59
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,92.58,78.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,89.52,79.35,95.19,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,90.61,79.9,95.19,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,91.92,92.03,94.59,100.0,88.89,0.0,0.0,0.0,0.0
Task 6,93.67,90.35,94.89,100.0,79.08,94.64,0.0,0.0,0.0
Task 7,84.93,90.91,95.19,100.0,87.25,95.89,92.91,0.0,0.0
Task 8,90.61,92.66,94.59,100.0,85.08,95.89,91.7,98.33,0.0
Task 9,89.3,92.98,95.04,100.0,90.31,95.57,92.85,96.5,84.88

	Average accuracy = 93.05
	Average forgetting = 0.84
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,95.41,92.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,94.54,92.74,96.09,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,92.58,93.22,96.39,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,94.1,93.78,96.54,100.0,85.62,0.0,0.0,0.0,0.0
Task 6,93.67,92.42,94.44,100.0,91.83,94.25,0.0,0.0,0.0
Task 7,95.63,92.03,96.09,100.0,88.89,96.04,92.51,0.0,0.0
Task 8,94.76,93.14,94.89,100.0,87.47,95.57,91.16,98.33,0.0
Task 9,94.54,92.11,95.64,100.0,88.24,94.72,91.5,98.17,81.95

	Average accuracy = 92.99
	Average forgetting = -0.02
