CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,87.55,81.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,63.54,59.97,96.39,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,81.88,62.12,93.08,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,68.56,66.03,96.39,100.0,74.29,0.0,0.0,0.0,0.0
Task 6,75.55,61.4,91.43,100.0,68.52,91.38,0.0,0.0,0.0
Task 7,71.18,61.96,92.78,100.0,71.13,93.4,88.66,0.0,0.0
Task 8,53.93,47.77,89.62,100.0,64.05,78.65,77.94,96.0,0.0
Task 9,62.45,57.18,91.73,100.0,69.39,87.34,84.62,96.67,74.63

	Average accuracy = 80.45
	Average forgetting = -9.17
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,86.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,43.89,75.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,43.67,74.48,95.79,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,42.58,59.17,81.95,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,37.99,72.01,92.63,100.0,64.6,0.0,0.0,0.0,0.0
Task 6,35.37,68.66,81.95,100.0,61.33,86.72,0.0,0.0,0.0
Task 7,41.27,66.43,94.44,100.0,60.13,83.07,64.1,0.0,0.0
Task 8,37.34,63.48,85.26,100.0,59.04,77.95,62.42,93.67,0.0
Task 9,36.46,57.81,87.97,100.0,59.15,81.99,64.91,87.83,80.49

	Average accuracy = 72.96
	Average forgetting = -11.43
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,88.43,87.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,87.55,72.09,96.99,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,29.91,25.12,79.55,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,91.27,69.38,93.38,100.0,78.43,0.0,0.0,0.0,0.0
Task 6,89.52,57.89,88.12,100.0,55.56,91.38,0.0,0.0,0.0
Task 7,87.34,65.71,90.83,100.0,60.24,93.79,51.96,0.0,0.0
Task 8,63.76,52.71,89.17,100.0,53.7,84.08,53.71,97.33,0.0
Task 9,66.38,59.33,94.59,100.0,56.75,83.93,53.71,98.17,78.54

	Average accuracy = 76.82
	Average forgetting = -10.71
Trial no. 3
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,95.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,87.99,51.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,84.72,43.38,97.74,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,46.07,18.66,84.66,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,90.39,46.57,93.38,100.0,37.91,0.0,0.0,0.0,0.0
Task 6,86.03,42.9,90.68,100.0,35.62,89.44,0.0,0.0,0.0
Task 7,90.17,42.26,94.29,100.0,35.19,88.28,88.53,0.0,0.0
Task 8,81.88,35.09,95.04,100.0,36.38,90.61,86.37,97.17,0.0
Task 9,82.53,37.48,93.83,100.0,37.58,86.8,86.1,97.5,82.93

	Average accuracy = 78.31
	Average forgetting = -4.58
Trial no. 4
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,79.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,77.73,79.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,79.91,44.42,85.41,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,52.4,21.05,15.19,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,70.96,46.97,90.38,100.0,84.97,0.0,0.0,0.0,0.0
Task 6,61.14,38.84,75.94,100.0,68.85,90.45,0.0,0.0,0.0
Task 7,70.31,39.23,73.38,100.0,65.9,89.98,89.2,0.0,0.0
Task 8,63.76,33.41,68.57,100.0,61.87,80.12,84.35,74.0,0.0
Task 9,63.76,32.46,70.38,98.98,65.14,88.51,85.43,72.5,77.56

	Average accuracy = 72.75
	Average forgetting = -13.14
