CoraFull dataset

Trial no. 0
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,74.67,93.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,59.83,87.4,95.34,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,62.23,87.56,94.14,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,74.89,84.77,93.68,100.0,87.15,0.0,0.0,0.0,0.0
Task 6,77.73,86.2,90.68,100.0,83.01,94.88,0.0,0.0,0.0
Task 7,73.58,81.9,90.53,100.0,77.45,92.16,89.54,0.0,0.0
Task 8,70.52,78.55,89.62,100.0,78.65,89.29,90.08,95.0,0.0
Task 9,73.58,82.22,91.73,100.0,78.54,88.74,88.46,92.67,80.0

	Average accuracy = 86.22
	Average forgetting = -6.66
Trial no. 1
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,97.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,64.41,93.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,71.83,90.75,97.89,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,66.16,90.35,97.44,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,79.48,89.07,96.24,100.0,89.87,0.0,0.0,0.0,0.0
Task 6,76.42,90.19,94.74,100.0,85.29,93.17,0.0,0.0,0.0
Task 7,77.29,87.24,93.23,100.0,79.08,90.92,90.96,0.0,0.0
Task 8,76.2,87.08,92.78,100.0,80.5,90.14,89.95,94.5,0.0
Task 9,77.51,85.73,92.78,100.0,79.63,90.06,89.88,94.5,80.0

	Average accuracy = 87.79
	Average forgetting = -5.86
Trial no. 2
,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9
Task 1,96.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2,87.12,93.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 3,87.99,90.59,96.39,0.0,0.0,0.0,0.0,0.0,0.0
Task 4,87.77,90.99,94.29,100.0,0.0,0.0,0.0,0.0,0.0
Task 5,86.24,82.22,93.23,100.0,87.36,0.0,0.0,0.0,0.0
Task 6,88.65,82.54,90.23,100.0,85.62,93.09,0.0,0.0,0.0
Task 7,86.24,84.37,93.23,100.0,76.36,91.3,92.24,0.0,0.0
Task 8,87.12,83.41,89.47,100.0,81.26,88.2,90.01,96.33,0.0
Task 9,84.28,82.14,89.47,100.0,79.41,84.55,88.19,94.5,83.41

	Average accuracy = 87.33
	Average forgetting = -6.62
